asin,body,date_posted,is_verified,num_helpfuls,profile_url,stars
B0756YXM7H,Plugged into the phone and to my surprise it didn't work,2017-10-14,True,0,/gp/profile/amzn1.account.AHDNMC4G5KFWCUDGPN5PX6I6FMMA/ref=cm_cr_getr_d_pdp?ie=UTF8,1.0
B0756YXM7H,Didn't work from the get go.  The plug casing fell off.,2017-11-26,True,0,/gp/profile/amzn1.account.AH5PSWNRKZBVCAVB53DPP6KNSDTA/ref=cm_cr_getr_d_pdp?ie=UTF8,1.0
B0756YXM7H,Doesn’t work!,2017-11-20,True,0,/gp/profile/amzn1.account.AGT5D3CRUWECUHRK5LPJ3TAHZGIQ/ref=cm_cr_getr_d_pdp?ie=UTF8,1.0
B0756YXM7H,I was only able to use it to hear half of my song. :(,2017-12-13,True,0,/gp/profile/amzn1.account.AEMD4W6UKTXQNUTMU4HFP4OLZW5A/ref=cm_cr_getr_d_pdp?ie=UTF8,1.0
B0756YXM7H,Didn’t work,2017-12-23,True,0,/gp/profile/amzn1.account.AHXGFIP4W2HAY5BF3WJJZTMJIUDA/ref=cm_cr_getr_d_pdp?ie=UTF8,1.0
B0756YXM7H,Bought this  for my daughter and it didn't work.,2017-11-10,True,0,/gp/profile/amzn1.account.AHX2X543I4HW5MY22UFJK2S2R3AA/ref=cm_cr_getr_d_pdp?ie=UTF8,1.0
B0756YXM7H,Doesn’t even work I want my money back,2017-10-16,True,0,/gp/profile/amzn1.account.AHML4GANHGJC7VPLXIPDZ2OSJ7GQ/ref=cm_cr_getr_d_pdp?ie=UTF8,1.0
B0756YXM7H,Worked once and never again! Garbage,2017-10-24,True,0,/gp/profile/amzn1.account.AHR46OWE5AS3FACFVQXMKEACOJQQ/ref=cm_cr_getr_d_pdp?ie=UTF8,1.0
B0756YXM7H,Is not supported by IPhone 7plus,2017-10-21,True,0,/gp/profile/amzn1.account.AEDML3EAQAHQFRXUCKFDRAQTEODA/ref=cm_cr_getr_d_pdp?ie=UTF8,1.0
B0756YXM7H,Doesn't work,2017-11-04,True,0,/gp/profile/amzn1.account.AEL2ZYBVSXQZ47YIOB5GNHJL7XTQ/ref=cm_cr_getr_d_pdp?ie=UTF8,1.0
B0756YXM7H,"Started looking at the 5 star reviews because it is hard to believe when there are so many 1 star. What i noticed is that 95% of the 5 stars have only reviewed this one item. Many of them have an item on their wish list and, hard to believe, but most want this double pack of a cheap Chinese flashlight. Not one of these 5 stars are verified purchases , so they didn't purchase this item on Amazon.  What these scammers hope is that you purchase and decide it is not worth your trouble to ship it back. Either way, they figure Amazon pays for shipping so it doesn't matter.",2017-10-06,False,1,/gp/profile/amzn1.account.AFZHPRRDQSGZ5733WK3IDBDWPZSA/ref=cm_cr_getr_d_pdp?ie=UTF8,3.0
B0756YXM7H,"I absolutely love this charger for my iPhone 7Plus. First, I was skeptical about even buying the iPhone 7 because of the lack of a headphone jack. However, this adapter solves all those issues. I can easily listen to music while charging my phone which I wasn't able to do before buying this adapter. It works great! I also love that there are two ports so I can plug into both places at once. With this adapter, it works like any of the other previous versions of the iPhone so I would highly recommend!",2017-09-06,False,0,/gp/profile/amzn1.account.AHEZJE3JTGIKSZLPST4AKV4Y6HVA/ref=cm_cr_getr_d_pdp?ie=UTF8,5.0
B0756YXM7H,I listen to music at work as well as on my commute so it's important to have enough battery to do this. The audio + charge means that I can charge it at work at the same time as listening to my music. It's quite light and small so easy to carry in my purse and I don't notice any difference in the audio. Recommended!!,2017-09-03,False,0,/gp/profile/amzn1.account.AEJ2HPZ6JMCRQP42DLRFLUN3ZI3A/ref=cm_cr_getr_d_pdp?ie=UTF8,5.0
